,release_date,title
137,1995-08-01,Target
138,1996-03-01,Up Close & Personal
139,1996-03-08,The Birdcage
140,1995-10-12,Virgin Mary
141,1995-08-09,The Brothers McMullen
142,1995-04-07,Bad Boys
143,1995-08-25,The Amazing Panda Adventure
144,1995-04-21,The Basketball Diaries
145,1995-07-21,An Awfully Big Adventure
146,1994-08-05,Amateur
147,1995-06-30,Apollo 13
148,1995-04-13,Rob Roy
149,1995-01-10,The Addiction
150,1995-06-16,Batman Forever
151,1967-05-24,Belle de Jour
152,1995-05-24,Beyond Rangoon
153,1995-09-15,Blue in the Face
154,1995-06-08,Canadian Bacon
155,1995-05-26,Casper
156,1995-09-15,Clockers
157,1995-06-09,Congo
158,1995-05-12,Crimson Tide
159,1994-09-10,Crumb
160,1995-08-25,Desperado
161,1995-09-15,Devil in a Blue Dress
162,1995-05-19,Die Hard: With a Vengeance
163,1995-10-27,The Doom Generation
164,1995-10-12,Feast of July
165,1995-07-07,First Knight
166,1995-07-19,Free Willy 2 - The Adventure Home
167,1995-09-14,Hackers
168,1995-08-18,Jeffrey
169,1995-05-26,Johnny Mnemonic
170,1995-06-30,Judge Dredd
171,1995-04-12,Jury Duty
172,1995-07-28,Kids
173,1995-01-20,Living in Oblivion
174,1995-08-25,Lord of Illusions
175,1993-05-20,Love & Human Remains
176,1995-05-26,Mad Love
177,1995-10-20,Mallrats
178,1995-06-30,Mighty Morphin Power Rangers: The Movie
179,1995-09-29,Moonlight and Valentino
180,1995-09-28,Mute Witness
181,1994-09-13,Nadja
182,1995-07-28,The Net
183,1995-07-12,Nine Months
184,1995-06-09,Party Girl
185,1995-09-01,The Prophecy
186,1995-11-17,Reckless
187,1995-06-23,Safe
188,1995-10-13,The Scarlet Letter
189,1995-08-25,The Show
190,1995-09-22,Showgirls
191,1995-06-09,Smoke
192,1995-08-04,Something to Talk About
193,1995-07-07,Species
194,1995-09-15,The Stars Fell on Henrietta
195,1995-10-13,Strange Days
196,1964-02-19,The Umbrellas of Cherbourg
197,1995-09-08,The Tie That Binds
198,1995-10-27,Three Wishes
199,1995-11-02,Total Eclipse
200,1995-09-07,"To Wong Foo, Thanks for Everything! Julie Newmar"
201,1995-07-13,Under Siege 2: Dark Territory
202,1995-09-15,Unstrung Heroes
203,1995-08-11,Unzipped
204,1995-08-11,A Walk in the Clouds
205,1995-07-28,Waterworld
206,1995-12-01,White Man's Burden
207,1995-12-01,Wild Bill
208,1994-10-12,The Browning Version
209,1995-08-04,Bushwhacked
210,1994-05-01,Burnt by the Sun
211,1994-06-09,Before the Rain
212,1995-01-27,Before Sunrise
213,1995-02-10,Billy Madison
214,1995-10-17,The Babysitter
215,1995-02-03,Boys on the Side
216,1995-04-21,The Cure
217,1995-08-04,Castle Freak
218,1995-03-16,Circle of Friends
219,1994-09-13,Clerks
220,1994-10-01,Don Juan DeMarco
221,1994-12-09,Disclosure
222,1995-01-01,Dream Man
223,1994-12-08,Drop Zone
224,1995-04-28,Destiny Turns on the Radio
225,1994-05-04,Death and the Maiden
226,1995-03-24,Dolores Claiborne
227,1994-12-16,Dumb and Dumber
228,1994-08-03,Eat Drink Man Woman
229,1994-09-24,Exotica
230,1994-10-14,Exit to Eden
231,1994-09-27,Ed Wood
232,1995-05-05,French Kiss
233,1995-05-19,Forget Paris
234,1995-01-13,Far from Home: The Adventures of Yellow Dog
235,1995-04-07,A Goofy Movie
236,1995-03-03,Hideaway
237,1995-06-02,Fluke
238,1994-12-07,Farinelli
239,1995-05-12,Gordy
240,1995-12-01,Gumby: The Movie
241,1994-09-16,The Glass Shield
242,1994-09-12,Hoop Dreams
243,1994-09-02,Heavenly Creatures
244,1995-01-06,Houseguest
245,1994-12-16,Immortal Beloved
246,1995-02-17,Heavyweights
247,1995-02-24,The Hunted
248,1994-12-24,I.Q.
249,1994-11-11,Interview with the Vampire
250,1995-03-31,Jefferson in Paris
251,1995-02-03,The Jerky Boys
252,1994-11-22,Junior
253,1995-02-17,Just Cause
254,1995-08-11,A Kid in King Arthur's Court
255,1995-04-21,Kiss of Death
256,1977-05-25,Star Wars
257,1994-12-21,Little Women
258,1995-05-10,A Little Princess
259,1994-02-18,Ladybird Ladybird
260,1994-02-16,L'Enfer
261,1992-04-16,Like Water for Chocolate
262,1994-12-16,Legends of the Fall
263,1995-03-24,Major Payne
264,1994-10-27,Little Odessa
265,1994-06-08,Mi Vida Loca
266,1994-10-21,Love Affair
267,1995-03-17,Losing Isaiah
268,1994-12-28,The Madness of King George
269,1994-11-04,Mary Shelley's Frankenstein
270,1995-03-03,Man of the House
271,1994-12-21,Mixed Nuts
272,1994-08-31,Milk Money
273,1994-11-18,Miracle on 34th Street
274,1995-01-27,Miami Rhapsody
275,1995-05-03,My Family
276,1995-01-20,Murder in the First
277,1994-12-23,Nobody's Fool
278,1994-12-23,Nell
279,1995-04-19,New Jersey Drive
280,1993-08-14,New York Cop
281,1994-04-22,Beyond Bedlam
282,1995-09-26,Nemesis 2 - Nebula
283,1995-03-03,Nina Takes a Lover
284,1994-08-25,Natural Born Killers
285,1994-09-17,Only You
286,1994-09-02,Once Were Warriors
287,1996-01-16,Poison Ivy II: Lily
288,1995-03-10,Outbreak
289,1994-09-14,Leon: The Professional
290,1995-05-12,The Perez Family
291,1995-04-28,A Pyromaniac's Love Story
292,1994-09-10,Pulp Fiction
293,1995-11-10,Panther
294,1992-02-01,Pushing Hands
295,1994-01-01,Priest
296,1994-09-16,Quiz Show
297,1995-05-05,Picture Bride
298,1994-05-13,Queen Margot
299,1995-02-09,The Quick and the Dead
300,1995-03-01,Roommates
301,1994-12-23,Prêt-à-Porter
302,1994-05-27,Three Colors: Red
303,1993-01-10,Three Colors: Blue
304,1994-01-26,Three Colors: White
305,1994-10-14,"Red Firecracker, Green Firecracker"
306,1995-01-01,Rent-a-Kid
307,1995-10-03,Relative Fear
308,1995-04-12,Stuart Saves His Family
309,1994-11-18,The Swan Princess
310,1994-01-01,The Secret of Roan Inish
311,1994-10-07,The Specialist
312,1994-10-27,Stargate
313,1994-11-10,The Santa Clause
314,1994-09-23,The Shawshank Redemption
315,1994-12-22,Shallow Grave
316,1993-09-14,Suture
317,1993-01-01,Strawberry and Chocolate
318,1994-09-10,Swimming with Sharks
319,1994-07-12,The Sum of Us
320,1995-09-08,Senior Trip
321,1994-06-30,To Live
322,1995-03-31,Tank Girl
323,1995-01-13,Tales from the Crypt: Demon Knight
324,1994-11-17,Star Trek: Generations
325,1995-05-24,Tales from the Hood
326,1994-04-15,Tom & Viv
327,1995-04-28,Village of the Damned
328,1995-03-31,Tommy Boy
329,1994-09-13,Vanya on 42nd Street
330,1995-04-28,The Underneath
331,1995-02-24,The Walking Dead
332,1993-12-17,What's Eating Gilbert Grape
333,1995-08-04,Virtuosity
334,1995-04-21,While You Were Sleeping
335,1994-11-04,The War
336,1994-09-07,Double Happiness
337,1994-09-29,Muriel's Wedding
338,1995-08-18,The Baby-Sitters Club
339,1994-02-04,Ace Ventura: Pet Detective
340,1994-05-31,"The Adventures of Priscilla, Queen of the Desert"
341,1994-04-01,Backbeat
342,1992-09-02,Bitter Moon
343,1994-10-14,Bullets Over Broadway
344,1994-08-03,Clear and Present Danger
345,1994-07-20,The Client
346,1994-08-12,"Corrina, Corrina"
347,1994-05-13,Crooklyn
348,1994-05-11,The Crow
349,1994-12-02,Cobb
350,1994-05-26,The Flintstones
351,1994-07-06,Forrest Gump
352,1994-03-09,Four Weddings and a Funeral
353,1995-01-11,Higher Learning
354,1994-10-14,I Like It Like That
355,1994-06-29,I Love Trouble
356,1994-07-29,It Could Happen to You
357,1994-12-23,The Jungle Book
358,1993-09-11,"The Wonderful, Horrible Life of Leni Riefenstahl"
359,1994-06-23,The Lion King
360,1993-12-01,Little Buddha
361,1994-10-13,New Nightmare
362,1994-07-29,The Mask
363,1994-05-20,Maverick
364,1994-09-07,Mrs. Parker and the Vicious Circle
365,1994-03-18,The Naked Gun 33⅓: The Final Insult
366,1994-03-18,The Paper
367,1994-02-18,Reality Bites
368,1993-07-08,Red Rock West
369,1994-12-19,Ri¢hie Ri¢h
370,1994-12-01,Safe Passage
371,1994-09-30,The River Wild
372,1994-06-09,Speed
373,1994-12-16,Speechless
374,1994-09-15,Timecop
375,1994-07-14,True Lies
376,1994-04-29,When a Man Loves a Woman
377,1994-06-17,Wolf
378,1994-06-24,Wyatt Earp
379,1995-01-20,Bad Company
380,1994-12-22,A Man of No Importance
381,1994-09-15,S.F.W.
382,1994-11-23,A Low Down Dirty Shame
383,1994-09-30,"Boys Life: Three Stories of Love, Lust, and Liberation"
384,1994-01-01,Colonel Chabert
385,1965-08-06,"Faster, Pussycat! Kill! Kill!"
386,1994-09-28,Jason's Lyric
387,1993-12-10,The Secret Adventures of Tom Thumb
388,1994-12-22,Street Fighter
389,1995-09-15,Coldblooded
390,1997-12-31,Desert Winds
391,1995-05-13,Fall Time
392,1995-01-20,The Fear
393,1995-10-20,Frank and Ollie
394,1995-10-24,Girl in the Cadillac
395,1995-05-03,Homage
396,1995-11-21,Mirage
397,1996-05-03,Open Season
398,1995-05-26,Dos Crímenes
399,1995-03-01,Brother Minister: The Assassination of Malcolm X
400,1994-11-29,Highlander: The Final Dimension
401,1995-02-24,Federal Hill
402,1994-12-12,In the Mouth of Madness
403,1994-02-25,8 Seconds
404,1994-03-23,Above the Rim
405,1993-11-19,Addams Family Values
406,1994-04-27,Martin Lawrence: You So Crazy
407,1993-09-17,The Age of Innocence
408,1994-08-05,Airheads
409,1994-01-07,The Air Up There
410,1993-07-22,Another Stakeout
411,1994-04-22,Bad Girls
412,1994-07-29,Barcelona
413,1994-05-06,Being Human
414,1993-10-15,The Beverly Hillbillies
415,1994-05-24,Beverly Hills Cop III
416,1994-07-29,Black Beauty
417,1994-01-26,Blink
418,1994-07-01,Blown Away
419,1994-02-18,Blue Chips
420,1994-09-16,Blue Sky
421,1993-06-09,Body Snatchers
422,1993-06-18,Boxing Helena
423,1993-09-14,A Bronx Tale
424,1994-01-07,Cabin Boy
425,1993-09-03,Calendar Girl
426,1993-11-10,Carlito's Way
427,1994-06-10,City Slickers II: The Legend of Curly's Gold
428,1994-05-06,Clean Slate
429,1993-05-28,Cliffhanger
430,1993-07-23,Coneheads
431,1994-08-19,Color of Night
432,1994-04-15,Cops & Robbersons
433,1994-06-03,The Cowboy Way
434,1993-11-19,Dangerous Game
435,1993-05-07,Dave
436,1993-09-24,Dazed and Confused
437,1993-10-08,Demolition Man
438,1994-06-03,The Endless Summer 2
439,1994-05-13,Even Cowgirls Get the Blues
440,1993-10-29,Fatal Instinct
441,1993-09-16,Farewell My Concubine
442,1994-04-29,The Favor
443,1993-10-15,Fearless
444,1994-10-28,Fear of a Black Hat
445,1994-04-29,With Honors
446,1993-11-05,Flesh and Bone
447,1994-05-13,Widows' Peak
448,1993-10-01,For Love or Money
449,1993-06-30,The Firm
450,1993-07-16,Free Willy
451,1994-08-24,Fresh
452,1993-08-06,The Fugitive
453,1993-12-10,Geronimo: An American Legend
454,1994-02-11,The Getaway
455,1994-06-17,Getting Even with Dad
456,1994-06-10,Go Fish
457,1994-07-14,A Good Man in Africa
458,1993-06-04,Guilty as Sin
459,1993-08-20,Hard Target
460,1993-12-24,Heaven & Earth
461,1993-05-21,Hot Shots! Part Deux
462,1995-12-08,Live Nude Girls
463,1995-05-12,The Englishman Who Went Up a Hill But Came Down a Mountain
464,1993-10-19,The House of the Spirits
465,1994-01-01,House Party 3
466,1994-03-11,The Hudsucker Proxy
467,1994-02-04,I'll Do Anything
468,1994-08-12,In the Army Now
469,1993-07-08,In the Line of Fire
470,1993-12-12,In the Name of the Father
471,1994-04-22,The Inkwell
472,1993-06-09,What's Love Got to Do with It
473,1994-03-30,Jimmy Hollywood
474,1993-10-15,Judgment Night
475,1993-06-11,Jurassic Park
476,1993-09-01,Kalifornia
477,1993-10-01,Killing Zoe
478,1993-08-20,King of the Hill
479,1994-07-22,Lassie
480,1993-06-18,Last Action Hero
481,1993-06-04,Life With Mikey
482,1994-03-11,Lightning Jack
483,1993-09-09,M. Butterfly
484,1993-05-27,Made in America
485,1993-09-29,Malice
486,1993-08-25,The Man without a Face
487,1993-08-18,Manhattan Murder Mystery
488,1993-05-26,Menace II Society
489,1996-03-15,Executive Decision
490,1976-05-15,In the Realm of the Senses
491,1994-09-09,What Happened Was...
492,1993-05-07,Much Ado About Nothing
493,1993-10-08,Mr. Jones
494,1993-10-15,Mr. Wonderful
495,1993-11-24,Mrs. Doubtfire
496,1993-09-14,Naked
497,1994-07-18,The Next Karate Kid
498,1994-09-16,The New Age
499,1994-04-29,No Escape
500,1994-07-22,North
501,1992-09-01,Orlando
502,1993-11-24,A Perfect World
503,1993-12-22,Philadelphia
504,1993-05-19,The Piano
505,1993-07-23,Poetic Justice
506,1993-09-24,The Program
507,1994-10-21,The Puppet Masters
508,1994-10-21,Radioland Murders
509,1994-03-09,The Ref
510,1993-11-05,The Remains of the Day
511,1994-06-03,Renaissance Man
512,1993-07-30,Rising Sun
513,1994-10-28,The Road to Wellville
514,1993-04-17,RoboCop 3
515,1993-07-28,Robin Hood: Men in Tights
516,1993-09-13,Romeo Is Bleeding
517,1992-03-05,Romper Stomper
518,1993-10-08,Ruby in Paradise
519,1993-09-17,Rudy
520,1993-11-03,The Saint of Fort Washington
521,1992-08-19,Savage Nights
522,1993-11-29,Schindler's List
523,1994-09-30,The Scout
524,1993-08-13,Searching for Bobby Fischer
525,1994-09-30,Second Best
526,1993-08-13,The Secret Garden
527,1994-04-13,Serial Mom
528,1994-07-01,The Shadow
529,1993-12-25,Shadowlands
530,1993-09-05,Short Cuts
531,1994-09-02,A Simple Twist of Fate
532,1993-10-01,Sirens
533,1993-12-08,Six Degrees of Separation
534,1993-06-24,Sleepless in Seattle
535,1993-05-21,Sliver
536,1982-06-25,Blade Runner
537,1993-07-02,Son in Law
538,1993-07-30,So I Married an Axe Murderer
539,1993-09-17,Striking Distance
540,1985-11-20,Harem
541,1993-05-28,Super Mario Bros.
542,1994-04-15,Surviving the Game
543,1994-09-23,Terminal Velocity
544,1993-11-26,Thirty Two Short Films About Glenn Gould
545,1994-04-08,Threesome
546,1993-10-09,The Nightmare Before Christmas
547,1993-11-11,The Three Musketeers
548,1993-12-25,Tombstone
549,1994-09-09,Trial by Jury
550,1993-09-09,True Romance
551,1993-12-05,The War Room
552,1994-11-23,The Pagemaster
553,1994-02-04,"Paris, France"
554,1994-01-01,"The Beans of Egypt, Maine"
555,1994-09-14,Killer
556,1995-05-24,Welcome to the Dollhouse
557,1993-09-29,Germinal
558,1994-04-22,Chasers
559,1993-09-12,Cronos
560,1993-11-10,Naked in New York
561,1993-10-28,Kika
562,1994-01-21,Bhaji on the Beach
563,1994-06-29,Little Big League
564,1993-09-24,The Slingshot
565,1993-09-05,Wide Eyed and Legless
566,1994-07-29,Foreign Student
567,1992-10-01,"Ciao, Professore!"
568,1994-01-15,Spanking the Monkey
569,1994-08-05,The Little Rascals
570,1993-09-10,À la mode
571,1994-08-17,Andre
572,1993-01-01,The Escort
573,1994-09-16,Princess Caraboo
574,1996-01-30,The Celluloid Closet
575,1993-01-01,Café au Lait
576,1993-10-12,Dear Diary
577,1993-05-20,I Don't Want to Talk About It
578,1995-02-16,The Brady Bunch Movie
579,1990-11-09,Home Alone
580,1990-07-12,Ghost
581,1992-11-25,Aladdin
582,1991-07-01,Terminator 2: Judgment Day
583,1990-11-09,Dances with Wolves
584,1995-02-14,Tough and Deadly
585,1989-06-23,Batman
586,1991-02-01,The Silence of the Lambs
587,1937-12-20,Snow White and the Seven Dwarfs
588,1991-11-13,Beauty and the Beast
589,1940-02-23,Pinocchio
590,1990-03-23,Pretty Woman
591,1993-12-01,Window to Paris
592,1969-06-17,The Wild Bunch
593,1994-11-23,Love and a .45
594,1994-02-05,The Wooden Man's Bride
595,1994-09-27,A Great Day in Harlem
596,1995-03-16,Bye Bye Love
597,1996-12-20,One Fine Day
598,1995-03-17,Candyman: Farewell to the Flesh
599,1993-12-31,Century
600,1996-04-05,Fargo
601,1996-03-08,Homeward Bound II: Lost in San Francisco
602,1981-08-07,Heavy Metal
603,1996-03-08,Hellraiser: Bloodline
604,1996-05-03,The Pallbearer
605,1996-02-09,Jane Eyre
606,1996-04-12,Loaded
607,1974-05-05,Bread and Chocolate
608,1970-12-23,The Aristocats
609,1995-09-22,The Flower of My Secret
610,1996-02-14,Two Much
611,1996-03-15,Ed
612,1991-01-01,Scream of Stone
613,1993-05-14,My Favorite Season
614,1996-09-06,A Modern Affair
615,1995-12-08,Condition Red
616,1990-01-01,Halfaouine: Boy of the Terraces
617,1996-04-04,A Thin Line Between Love and Hate
618,1995-09-08,The Last Supper
619,1996-04-03,Primal Fear
620,1995-09-08,Rude
621,1996-01-26,Carried Away
622,1996-03-29,All Dogs Go to Heaven 2
623,1995-01-01,Land and Freedom
624,1995-05-17,Denise Calls Up
625,1995-12-14,Theodore Rex
626,1996-03-29,A Family Thing
627,1996-03-22,Frisk
628,1996-03-29,Sgt. Bilko
629,1995-06-02,Jack & Sarah
630,1996-03-22,Girl 6
631,1996-03-22,Diabolique
632,1994-12-14,"Little Indian, Big City"
633,1995-09-11,Roula
634,1996-03-21,Peanuts – Die Bank zahlt alles
635,1996-03-14,Happy Weekend
636,1996-04-12,Nelly and Monsieur Arnaud
637,1996-07-04,Courage Under Fire
638,1996-05-22,Mission: Impossible
639,1995-02-10,Cold Fever
640,1996-06-14,Moll Flanders
641,1996-03-06,The Superwife
642,1995-04-22,"301, 302"
643,1996-05-31,DragonHeart
644,1996-02-29,Und keiner weint mir nach
645,1995-09-12,My Mother's Courage
646,1996-05-31,Eddie
647,1993-12-01,Yankee Zulu
648,1995-07-26,Billy's Holiday
649,1960-03-10,Purple Noon
650,1996-08-08,August
651,1996-04-12,James and the Giant Peach
652,1996-04-12,Fear
653,1996-04-02,Kids in the Hall: Brain Candy
654,1996-04-03,Faithful
655,1995-04-11,Underground
656,1995-03-08,All Things Fair
657,1996-03-01,Bloodsport II
658,1955-08-26,Pather Panchali
659,1959-05-01,The World of Apu
660,1996-04-19,Mystery Science Theater 3000: The Movie
661,1996-03-15,Tarantella
662,1996-11-15,Space Jam
663,1968-10-10,Barbarella
664,1995-01-01,Hostile Intentions
665,1996-01-01,They Bite
666,1994-03-26,Some Folks Call It a Sling Blade
667,1995-09-22,The Run of the Country
668,1965-05-05,Alphaville
669,1981-11-04,Coup de Torchon
670,1994-01-01,Tigrero: A Film That Was Never Made
671,1993-05-20,The Eye of Vichy
672,1980-01-18,Windows
673,1996-03-22,It's My Party
674,1994-10-27,Country Life
675,1995-07-28,Operation Dumbo Drop
676,1995-02-16,The Promise
677,1996-04-19,Mrs. Winterbourne
678,1996-10-23,Solo
679,1994-01-01,Under The Domim Tree
680,1996-04-19,The Substitute
681,1996-03-12,True Crime
682,1995-08-18,Butterfly Kiss
683,1996-09-13,Feeling Minnesota
684,1995-06-09,Delta of Venus
685,1991-01-01,To Cross the Rubicon
686,1995-09-15,Angus
687,1992-09-01,Priest Daens
688,1968-11-24,Faces
689,1996-05-10,Boys
690,1996-04-19,The Quest
691,1996-03-04,Cosi
692,1996-04-26,Sunset Park
693,1996-04-26,Mulholland Falls
694,1996-04-26,The Truth About Cats & Dogs
695,1988-11-18,Oliver & Company
696,1996-04-19,Celtic Pride
697,1996-05-17,Flipper
698,1994-05-03,Captives
699,1994-05-10,Of Love and Shadows
700,1995-12-23,Dead Man
701,1995-09-20,The Horseman on the Roof
702,1975-01-05,Switchblade Sisters
703,1995-11-10,Mouth to Mouth
704,1993-01-27,The Visitors
705,1996-07-19,Multiplicity
706,1996-05-01,"The Haunted World of Edward D. Wood, Jr."
707,2002-03-20,Two Friends
708,1996-05-03,The Craft
709,1996-05-03,The Great White Hype
710,1996-05-02,Last Dance
712,1995-01-01,Cold Comfort Farm
713,1995-08-01,"Institute Benjamenta, or This Dream People Call Human Life"
714,1996-05-17,Heaven's Prisoners
715,1996-05-10,Original Gangstas
716,1996-06-06,The Rock
717,1996-04-12,Getting Away with Murder
718,1994-03-25,Cemetery Man
719,1996-05-10,Twister
720,1996-05-02,Barb Wire
721,1995-10-31,Le Garçu
722,1996-04-11,Honeymoon
723,1995-11-18,Ghost in the Shell
724,1996-10-25,Thinner
725,1996-05-24,Spy Hard
726,1995-08-23,Brothers in Trouble
727,1995-12-24,A Close Shave
728,1948-12-25,Force of Evil
729,1996-08-30,The Stupids
730,1996-05-31,The Arrival
731,1943-08-04,The Man from Down Under
732,1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
733,1992-09-30,Careful
735,1995-09-11,A Month by the Lake
736,1995-11-03,Gold Diggers: The Secret of Bear Mountain
737,1950-12-07,Kim
738,1995-04-13,Carmen Miranda: Bananas Is My Business
739,1994-09-16,Ashes of Time
740,1994-04-01,The Jar
741,1995-11-10,Maya Lin: A Strong Clear Vision
742,1993-01-21,Stalingrad
743,1996-06-06,The Phantom
744,1996-06-28,Striptease
745,1996-12-06,The Last of the High Kings
746,1995-01-20,Heavy
747,1996-08-09,Jack
748,1996-05-01,I Shot Andy Warhol
749,1995-09-10,The Grass Harp
750,1995-09-09,Someone Else's America
751,1987-11-17,Life is Rosy
752,1992-05-26,Quartier Mozart
753,1973-07-01,Touki Bouki
754,1982-01-01,God's Gift
755,1968-05-16,Spirits of the Dead
756,1994-05-04,Babyfever
757,1995-01-01,Pharaoh's  Army
758,1996-02-23,Trainspotting
759,1997-05-30,Til There Was You
760,1996-06-25,Independence Day
761,1996-03-29,Stealing Beauty
762,1996-08-15,The Fan
763,1996-06-21,The Hunchback of Notre Dame
764,1996-06-10,The Cable Guy
765,1996-07-04,Kingpin
766,1996-06-21,Eraser
767,1995-01-01,The Gate of Heavenly Peace
768,1996-06-26,The Nutty Professor
769,1990-08-09,"I, the Worst of All"
770,1994-05-15,An Unforgettable Summer
771,1987-01-01,A Hungarian Fairy Tale
772,1993-01-01,My Life and Times With Antonin Artaud
773,1994-09-09,Midnight Dancers
774,1994-09-27,Somebody to Love
775,1974-01-01,A Very Natural Thing
776,1991-09-18,The Old Lady Who Walked in the Sea
777,1996-12-06,Daylight
778,1996-07-18,The Frighteners
779,1996-06-21,Lone Star
780,1996-07-10,Harriet the Spy
781,1996-07-05,Phenomenon
782,1996-07-17,Walking and Talking
783,1996-08-26,She's the One
784,1996-07-24,A Time to Kill
785,1996-09-13,American Buffalo
786,1995-03-22,Rendezvous in Paris
787,1996-08-14,Alaska
788,1996-07-19,Fled
789,1996-07-17,Kazaam
790,1994-10-23,Magic Hunter
791,1996-10-31,Larger Than Life
792,1996-05-22,A Boy Called Hate
793,1996-05-17,Power 98
794,1995-09-10,Two Deaths
795,1996-08-23,A Very Brady Sequel
796,1993-05-26,Stefano Quantestorie
797,1956-09-21,Death in the Garden
798,1992-01-01,Hedd Wyn
799,1967-03-02,La Collectionneuse
800,1993-09-11,Kaspar Hauser
801,1996-05-30,Regular Guys
