title,release_year,vote_average,vote_count
Billy Madison,1995,6.2,464.0
The Babysitter,1995,4.7,27.0
Boys on the Side,1995,6.3,48.0
The Cure,1995,7.2,58.0
Castle Freak,1995,5.8,40.0
Circle of Friends,1995,6.5,30.0
Clerks,1994,7.4,769.0
Don Juan DeMarco,1994,6.3,184.0
Disclosure,1994,5.9,217.0
Dream Man,1995,2.5,1.0
Drop Zone,1994,5.1,91.0
Destiny Turns on the Radio,1995,5.3,9.0
Death and the Maiden,1994,7.1,92.0
Dolores Claiborne,1995,7.1,183.0
Dumb and Dumber,1994,6.5,1894.0
Eat Drink Man Woman,1994,7.5,76.0
Exotica,1994,6.5,64.0
Exit to Eden,1994,4.3,28.0
Ed Wood,1994,7.3,639.0
French Kiss,1995,6.2,179.0
Forget Paris,1995,6.1,38.0
Far from Home: The Adventures of Yellow Dog,1995,5.6,27.0
A Goofy Movie,1995,6.7,404.0
Hideaway,1995,5.0,24.0
Fluke,1995,6.6,48.0
Farinelli,1994,5.9,20.0
Gordy,1995,3.0,4.0
Gumby: The Movie,1995,5.0,2.0
The Glass Shield,1994,5.4,9.0
Hoop Dreams,1994,7.7,91.0
Heavenly Creatures,1994,6.9,299.0
Houseguest,1995,6.0,17.0
Immortal Beloved,1994,6.9,90.0
Heavyweights,1995,6.0,97.0
The Hunted,1995,6.0,25.0
I.Q.,1994,5.9,112.0
Interview with the Vampire,1994,7.2,1558.0
Jefferson in Paris,1995,5.2,10.0
The Jerky Boys,1995,4.8,10.0
Junior,1994,4.7,381.0
Just Cause,1995,6.0,124.0
A Kid in King Arthur's Court,1995,4.3,40.0
Kiss of Death,1995,5.7,83.0
Star Wars,1977,8.1,6778.0
Little Women,1994,7.0,222.0
A Little Princess,1995,7.4,207.0
Ladybird Ladybird,1994,7.4,14.0
L'Enfer,1994,6.6,22.0
Like Water for Chocolate,1992,6.6,70.0
Legends of the Fall,1994,7.2,636.0
Major Payne,1995,6.1,164.0
Little Odessa,1994,6.4,31.0
Mi Vida Loca,1994,5.7,9.0
Love Affair,1994,4.3,11.0
Losing Isaiah,1995,6.4,28.0
The Madness of King George,1994,6.7,67.0
Mary Shelley's Frankenstein,1994,6.1,272.0
Man of the House,1995,5.1,40.0
Mixed Nuts,1994,5.2,37.0
Milk Money,1994,5.6,49.0
Miracle on 34th Street,1994,6.4,199.0
Miami Rhapsody,1995,5.6,7.0
My Family,1995,7.0,11.0
Murder in the First,1995,6.9,140.0
Nobody's Fool,1994,7.0,56.0
Nell,1994,6.1,128.0
New Jersey Drive,1995,6.9,7.0
New York Cop,1993,0.0,0.0
Beyond Bedlam,1994,4.0,4.0
Nemesis 2 - Nebula,1995,4.6,10.0
Nina Takes a Lover,1995,7.4,4.0
Natural Born Killers,1994,6.9,927.0
Only You,1994,6.4,92.0
Once Were Warriors,1994,7.6,106.0
Poison Ivy II: Lily,1996,4.6,32.0
Outbreak,1995,6.4,522.0
Leon: The Professional,1994,8.2,4293.0
The Perez Family,1995,6.6,9.0
A Pyromaniac's Love Story,1995,7.0,2.0
Pulp Fiction,1994,8.3,8670.0
Panther,1995,6.4,6.0
Pushing Hands,1992,6.1,9.0
Priest,1994,6.4,32.0
Quiz Show,1994,7.1,262.0
Picture Bride,1995,7.4,5.0
Queen Margot,1994,7.0,67.0
The Quick and the Dead,1995,6.2,431.0
Roommates,1995,6.4,7.0
Prêt-à-Porter,1994,5.3,33.0
Three Colors: Red,1994,7.8,246.0
Three Colors: Blue,1993,7.7,311.0
Three Colors: White,1994,7.3,218.0
"Red Firecracker, Green Firecracker",1994,7.0,2.0
Rent-a-Kid,1995,5.1,15.0
Relative Fear,1995,4.7,3.0
Stuart Saves His Family,1995,5.0,6.0
The Swan Princess,1994,6.5,251.0
The Secret of Roan Inish,1994,6.1,15.0
The Specialist,1994,5.5,317.0
Stargate,1994,6.8,942.0
The Santa Clause,1994,6.3,501.0
The Shawshank Redemption,1994,8.5,8358.0
Shallow Grave,1994,7.0,247.0
Suture,1993,6.0,7.0
Strawberry and Chocolate,1993,7.1,16.0
Swimming with Sharks,1994,6.7,104.0
The Sum of Us,1994,6.0,21.0
Senior Trip,1995,5.7,23.0
To Live,1994,7.7,62.0
Tank Girl,1995,5.5,140.0
Tales from the Crypt: Demon Knight,1995,6.7,96.0
Star Trek: Generations,1994,6.4,461.0
Tales from the Hood,1995,5.4,33.0
Tom & Viv,1994,5.8,8.0
Village of the Damned,1995,5.6,165.0
Tommy Boy,1995,6.8,321.0
Vanya on 42nd Street,1994,6.1,15.0
The Underneath,1995,5.6,15.0
The Walking Dead,1995,6.6,4.0
What's Eating Gilbert Grape,1993,7.5,943.0
Virtuosity,1995,5.4,163.0
While You Were Sleeping,1995,6.5,340.0
The War,1994,6.3,39.0
Double Happiness,1994,5.5,2.0
Muriel's Wedding,1994,6.9,104.0
The Baby-Sitters Club,1995,5.3,23.0
Ace Ventura: Pet Detective,1994,6.4,1684.0
"The Adventures of Priscilla, Queen of the Desert",1994,7.2,174.0
Backbeat,1994,6.2,37.0
Bitter Moon,1992,7.0,115.0
Bullets Over Broadway,1994,7.0,130.0
Clear and Present Danger,1994,6.4,390.0
The Client,1994,6.4,287.0
"Corrina, Corrina",1994,6.4,83.0
Crooklyn,1994,6.7,31.0
The Crow,1994,7.3,980.0
Cobb,1994,6.1,29.0
The Flintstones,1994,5.0,559.0
Forrest Gump,1994,8.2,8147.0
Four Weddings and a Funeral,1994,6.6,654.0
Higher Learning,1995,6.4,49.0
I Like It Like That,1994,6.3,4.0
I Love Trouble,1994,5.3,41.0
It Could Happen to You,1994,6.1,154.0
The Jungle Book,1994,5.9,107.0
"The Wonderful, Horrible Life of Leni Riefenstahl",1993,7.3,5.0
The Lion King,1994,8.0,5520.0
Little Buddha,1993,6.0,76.0
New Nightmare,1994,6.4,297.0
The Mask,1994,6.6,2550.0
Maverick,1994,6.6,490.0
Mrs. Parker and the Vicious Circle,1994,6.3,20.0
The Naked Gun 33⅓: The Final Insult,1994,6.4,535.0
The Paper,1994,6.1,40.0
Reality Bites,1994,6.5,180.0
Red Rock West,1993,6.4,71.0
Ri¢hie Ri¢h,1994,5.4,426.0
Safe Passage,1994,4.9,7.0
The River Wild,1994,6.1,214.0
Speed,1994,6.8,1814.0
Speechless,1994,5.5,24.0
Timecop,1994,5.5,288.0
True Lies,1994,6.8,1138.0
When a Man Loves a Woman,1994,6.0,71.0
Wolf,1994,6.0,221.0
Wyatt Earp,1994,6.5,203.0
Bad Company,1995,4.9,12.0
A Man of No Importance,1994,6.5,2.0
S.F.W.,1994,6.1,22.0
A Low Down Dirty Shame,1994,6.0,31.0
"Boys Life: Three Stories of Love, Lust, and Liberation",1994,2.0,1.0
Colonel Chabert,1994,5.9,9.0
"Faster, Pussycat! Kill! Kill!",1965,6.5,59.0
Jason's Lyric,1994,5.9,9.0
The Secret Adventures of Tom Thumb,1993,7.1,8.0
Street Fighter,1994,4.1,330.0
Coldblooded,1995,6.7,13.0
Desert Winds,1997,0.0,0.0
Fall Time,1995,6.3,6.0
The Fear,1995,3.4,7.0
Frank and Ollie,1995,7.5,4.0
Girl in the Cadillac,1995,10.0,1.0
Homage,1995,0.0,0.0
Mirage,1995,4.0,1.0
Open Season,1996,0.0,0.0
Dos Crímenes,1995,5.0,1.0
Brother Minister: The Assassination of Malcolm X,1995,4.0,1.0
Highlander: The Final Dimension,1994,4.5,110.0
Federal Hill,1995,5.0,2.0
In the Mouth of Madness,1994,7.1,307.0
8 Seconds,1994,7.2,22.0
Above the Rim,1994,6.7,40.0
Addams Family Values,1993,6.5,537.0
Martin Lawrence: You So Crazy,1994,4.5,4.0
The Age of Innocence,1993,7.0,172.0
Airheads,1994,5.8,222.0
The Air Up There,1994,5.1,42.0
Another Stakeout,1993,4.9,58.0
Bad Girls,1994,4.6,61.0
Barcelona,1994,6.6,20.0
Being Human,1994,5.0,15.0
The Beverly Hillbillies,1993,5.0,86.0
Beverly Hills Cop III,1994,5.5,445.0
Black Beauty,1994,6.6,68.0
Blink,1994,6.3,45.0
Blown Away,1994,6.0,126.0
Blue Chips,1994,5.7,41.0
Blue Sky,1994,6.1,28.0
Body Snatchers,1993,5.8,102.0
Boxing Helena,1993,4.5,59.0
A Bronx Tale,1993,7.4,447.0
Cabin Boy,1994,4.9,28.0
Calendar Girl,1993,3.7,10.0
Carlito's Way,1993,7.7,805.0
City Slickers II: The Legend of Curly's Gold,1994,4.9,103.0
Clean Slate,1994,5.7,25.0
Cliffhanger,1993,6.1,600.0
Coneheads,1993,4.8,228.0
Color of Night,1994,5.4,117.0
Cops & Robbersons,1994,5.0,36.0
The Cowboy Way,1994,5.1,38.0
Dangerous Game,1993,5.4,9.0
Dave,1993,6.3,205.0
Dazed and Confused,1993,7.4,588.0
Demolition Man,1993,6.4,1018.0
The Endless Summer 2,1994,7.1,12.0
Even Cowgirls Get the Blues,1994,4.2,29.0
Fatal Instinct,1993,5.4,37.0
Farewell My Concubine,1993,7.8,98.0
The Favor,1994,3.3,6.0
Fearless,1993,6.8,80.0
Fear of a Black Hat,1994,5.8,11.0
With Honors,1994,6.1,54.0
Flesh and Bone,1993,6.2,22.0
Widows' Peak,1994,4.3,3.0
For Love or Money,1993,5.7,77.0
The Firm,1993,6.6,513.0
Free Willy,1993,6.0,429.0
Fresh,1994,7.6,56.0
The Fugitive,1993,7.2,1240.0
Geronimo: An American Legend,1993,5.9,44.0
The Getaway,1994,5.4,81.0
Getting Even with Dad,1994,4.5,43.0
Go Fish,1994,3.9,5.0
A Good Man in Africa,1994,5.2,11.0
Guilty as Sin,1993,5.6,21.0
Hard Target,1993,6.1,237.0
Heaven & Earth,1993,6.4,51.0
Hot Shots! Part Deux,1993,6.2,463.0
Live Nude Girls,1995,4.7,12.0
The Englishman Who Went Up a Hill But Came Down a Mountain,1995,6.1,83.0
The House of the Spirits,1993,6.7,135.0
House Party 3,1994,4.6,11.0
The Hudsucker Proxy,1994,7.1,280.0
I'll Do Anything,1994,5.7,18.0
In the Army Now,1994,4.7,54.0
In the Line of Fire,1993,6.8,392.0
In the Name of the Father,1993,7.6,363.0
The Inkwell,1994,3.9,5.0
What's Love Got to Do with It,1993,6.9,75.0
Jimmy Hollywood,1994,4.6,17.0
Judgment Night,1993,6.4,79.0
Jurassic Park,1993,7.6,4956.0
Kalifornia,1993,6.5,209.0
Killing Zoe,1993,6.1,111.0
King of the Hill,1993,6.4,33.0
Lassie,1994,6.1,54.0
Last Action Hero,1993,6.1,725.0
Life With Mikey,1993,5.1,24.0
Lightning Jack,1994,5.7,40.0
M. Butterfly,1993,6.6,35.0
Made in America,1993,5.3,86.0
Malice,1993,5.9,105.0
The Man without a Face,1993,6.2,125.0
Manhattan Murder Mystery,1993,7.1,169.0
Menace II Society,1993,7.2,179.0
Executive Decision,1996,5.8,261.0
In the Realm of the Senses,1976,6.5,112.0
What Happened Was...,1994,7.0,7.0
Much Ado About Nothing,1993,7.2,194.0
Mr. Jones,1993,5.9,35.0
Mr. Wonderful,1993,5.5,11.0
Mrs. Doubtfire,1993,7.0,1638.0
Naked,1993,7.5,105.0
The Next Karate Kid,1994,4.8,202.0
The New Age,1994,4.8,5.0
No Escape,1994,6.1,86.0
North,1994,4.8,67.0
Orlando,1992,6.7,53.0
A Perfect World,1993,7.2,376.0
Philadelphia,1993,7.6,1019.0
The Piano,1993,7.1,290.0
Poetic Justice,1993,6.9,47.0
The Program,1993,6.0,28.0
The Puppet Masters,1994,5.6,41.0
Radioland Murders,1994,5.8,12.0
The Ref,1994,6.7,99.0
The Remains of the Day,1993,7.5,213.0
Renaissance Man,1994,5.9,83.0
Rising Sun,1993,5.8,188.0
The Road to Wellville,1994,5.5,43.0
RoboCop 3,1993,4.2,309.0
Robin Hood: Men in Tights,1993,6.4,575.0
Romeo Is Bleeding,1993,5.7,36.0
Romper Stomper,1992,6.6,126.0
Ruby in Paradise,1993,5.6,10.0
Rudy,1993,7.2,187.0
The Saint of Fort Washington,1993,4.0,5.0
Savage Nights,1992,6.2,11.0
Schindler's List,1993,8.3,4436.0
The Scout,1994,5.3,37.0
Searching for Bobby Fischer,1993,7.3,100.0
Second Best,1994,5.9,8.0
The Secret Garden,1993,7.1,232.0
Serial Mom,1994,6.4,137.0
The Shadow,1994,5.4,140.0
Shadowlands,1993,6.8,61.0
Short Cuts,1993,6.9,136.0
A Simple Twist of Fate,1994,5.7,26.0
Sirens,1993,5.2,31.0
Six Degrees of Separation,1993,6.5,75.0
Sleepless in Seattle,1993,6.5,630.0
Sliver,1993,4.9,144.0
Blade Runner,1982,7.9,3833.0
Son in Law,1993,5.6,81.0
So I Married an Axe Murderer,1993,6.1,131.0
Striking Distance,1993,5.4,223.0
Harem,1985,4.0,4.0
Super Mario Bros.,1993,4.0,236.0
Surviving the Game,1994,6.1,53.0
Terminal Velocity,1994,5.0,82.0
Thirty Two Short Films About Glenn Gould,1993,7.4,9.0
Threesome,1994,6.3,57.0
The Nightmare Before Christmas,1993,7.6,2135.0
The Three Musketeers,1993,6.2,219.0
Tombstone,1993,7.4,632.0
Trial by Jury,1994,5.5,5.0
True Romance,1993,7.5,762.0
The War Room,1993,7.3,19.0
The Pagemaster,1994,6.2,178.0
"Paris, France",1994,6.0,2.0
"The Beans of Egypt, Maine",1994,0.0,1.0
Killer,1994,3.0,2.0
Welcome to the Dollhouse,1995,6.9,103.0
Germinal,1993,6.3,43.0
Chasers,1994,4.7,22.0
Cronos,1993,6.4,153.0
Naked in New York,1993,4.0,3.0
Kika,1993,6.8,58.0
Bhaji on the Beach,1994,5.1,10.0
Little Big League,1994,6.0,20.0
The Slingshot,1993,6.2,10.0
Wide Eyed and Legless,1993,0.0,0.0
Foreign Student,1994,0.0,0.0
"Ciao, Professore!",1992,7.2,74.0
Spanking the Monkey,1994,5.3,29.0
The Little Rascals,1994,6.3,214.0
À la mode,1993,0.0,0.0
Andre,1994,5.0,31.0
The Escort,1993,5.0,5.0
Princess Caraboo,1994,4.4,5.0
The Celluloid Closet,1996,7.0,24.0
Café au Lait,1993,6.8,4.0
Dear Diary,1993,6.9,46.0
I Don't Want to Talk About It,1993,6.0,1.0
The Brady Bunch Movie,1995,5.9,87.0
Home Alone,1990,7.1,2487.0
Ghost,1990,6.9,1381.0
Aladdin,1992,7.4,3495.0
Terminator 2: Judgment Day,1991,7.7,4274.0
Dances with Wolves,1990,7.6,1084.0
Tough and Deadly,1995,6.3,4.0
Batman,1989,7.0,2145.0
The Silence of the Lambs,1991,8.1,4549.0
Snow White and the Seven Dwarfs,1937,6.9,1973.0
Beauty and the Beast,1991,7.5,3029.0
Pinocchio,1940,6.9,1412.0
Pretty Woman,1990,7.0,1807.0
Window to Paris,1993,6.0,6.0
The Wild Bunch,1969,7.7,266.0
Love and a .45,1994,5.5,15.0
The Wooden Man's Bride,1994,6.5,1.0
A Great Day in Harlem,1994,7.0,2.0
Bye Bye Love,1995,6.1,20.0
One Fine Day,1996,6.1,160.0
Candyman: Farewell to the Flesh,1995,5.0,64.0
Century,1993,5.0,1.0
Fargo,1996,7.7,2080.0
Homeward Bound II: Lost in San Francisco,1996,6.0,105.0
Heavy Metal,1981,6.3,150.0
Hellraiser: Bloodline,1996,4.9,111.0
The Pallbearer,1996,4.6,30.0
Jane Eyre,1996,7.1,51.0
Loaded,1996,4.0,3.0
Bread and Chocolate,1974,7.1,10.0
The Aristocats,1970,7.1,1287.0
The Flower of My Secret,1995,6.9,43.0
Two Much,1996,5.1,24.0
Ed,1996,3.6,24.0
Scream of Stone,1991,7.5,4.0
My Favorite Season,1993,6.4,4.0
A Modern Affair,1996,5.0,1.0
Condition Red,1995,4.7,3.0
Halfaouine: Boy of the Terraces,1990,7.4,5.0
A Thin Line Between Love and Hate,1996,5.7,15.0
The Last Supper,1995,6.5,82.0
Primal Fear,1996,7.4,644.0
Rude,1995,6.0,1.0
Carried Away,1996,5.4,5.0
All Dogs Go to Heaven 2,1996,5.0,50.0
Land and Freedom,1995,7.0,53.0
Denise Calls Up,1995,6.6,5.0
Theodore Rex,1995,3.6,17.0
A Family Thing,1996,5.6,14.0
Frisk,1996,3.0,3.0
Sgt. Bilko,1996,5.5,96.0
Jack & Sarah,1995,5.1,10.0
Girl 6,1996,5.7,17.0
Diabolique,1996,5.4,74.0
"Little Indian, Big City",1994,6.0,145.0
Roula,1995,5.0,1.0
Peanuts – Die Bank zahlt alles,1996,4.0,1.0
Happy Weekend,1996,0.0,0.0
Nelly and Monsieur Arnaud,1996,7.1,16.0
Courage Under Fire,1996,6.2,240.0
Mission: Impossible,1996,6.7,2677.0
Cold Fever,1995,7.7,6.0
Moll Flanders,1996,6.2,19.0
The Superwife,1996,5.3,7.0
"301, 302",1995,6.2,10.0
DragonHeart,1996,6.4,553.0
Und keiner weint mir nach,1996,0.0,0.0
My Mother's Courage,1995,0.0,0.0
Eddie,1996,5.4,46.0
Yankee Zulu,1993,6.0,4.0
Billy's Holiday,1995,0.0,0.0
Purple Noon,1960,7.3,73.0
August,1996,5.3,3.0
James and the Giant Peach,1996,6.2,375.0
Fear,1996,6.1,157.0
Kids in the Hall: Brain Candy,1996,5.9,26.0
Faithful,1996,4.8,4.0
Underground,1995,7.5,143.0
All Things Fair,1995,6.1,23.0
Bloodsport II,1996,5.2,23.0
Pather Panchali,1955,7.9,63.0
The World of Apu,1959,8.2,40.0
Mystery Science Theater 3000: The Movie,1996,7.0,71.0
Tarantella,1996,0.0,0.0
Space Jam,1996,6.5,1335.0
Barbarella,1968,5.7,149.0
Hostile Intentions,1995,8.0,1.0
They Bite,1996,5.5,1.0
Some Folks Call It a Sling Blade,1994,7.5,8.0
The Run of the Country,1995,8.0,2.0
Alphaville,1965,6.8,100.0
Coup de Torchon,1981,6.8,21.0
Tigrero: A Film That Was Never Made,1994,7.5,4.0
The Eye of Vichy,1993,0.0,0.0
Windows,1980,5.8,9.0
It's My Party,1996,6.2,9.0
Country Life,1994,8.0,1.0
Operation Dumbo Drop,1995,4.7,37.0
The Promise,1995,5.0,1.0
Mrs. Winterbourne,1996,5.5,26.0
Solo,1996,3.9,18.0
Under The Domim Tree,1994,6.5,2.0
The Substitute,1996,5.8,60.0
True Crime,1996,5.1,7.0
Butterfly Kiss,1995,7.4,5.0
Feeling Minnesota,1996,5.5,29.0
Delta of Venus,1995,3.3,5.0
To Cross the Rubicon,1991,0.0,0.0
Angus,1995,6.8,24.0
Priest Daens,1992,6.7,15.0
Faces,1968,7.1,36.0
Boys,1996,5.3,11.0
The Quest,1996,5.3,126.0
Cosi,1996,7.1,9.0
Sunset Park,1996,5.1,7.0
Mulholland Falls,1996,6.2,73.0
The Truth About Cats & Dogs,1996,5.7,86.0
Oliver & Company,1988,6.5,372.0
Celtic Pride,1996,4.9,35.0
Flipper,1996,5.3,85.0
Captives,1994,6.0,10.0
Of Love and Shadows,1994,4.4,11.0
Dead Man,1995,7.2,397.0
The Horseman on the Roof,1995,6.7,25.0
Switchblade Sisters,1975,6.6,27.0
Mouth to Mouth,1995,5.5,5.0
The Visitors,1993,7.1,433.0
Multiplicity,1996,5.5,158.0
"The Haunted World of Edward D. Wood, Jr.",1996,10.0,1.0
Two Friends,2002,0.0,0.0
The Craft,1996,6.3,388.0
The Great White Hype,1996,5.1,29.0
Last Dance,1996,5.6,9.0
Cold Comfort Farm,1995,7.0,21.0
"Institute Benjamenta, or This Dream People Call Human Life",1995,7.7,11.0
Heaven's Prisoners,1996,5.0,17.0
Original Gangstas,1996,5.5,5.0
The Rock,1996,6.9,1474.0
