title,release_year,popularity
Priest Daens,1992,0.755047
Faces,1968,7.918418
Boys,1996,1.579153
The Quest,1996,7.941972
Cosi,1996,0.947007
Sunset Park,1996,1.231692
Mulholland Falls,1996,5.79463
The Truth About Cats & Dogs,1996,5.121203
Oliver & Company,1988,10.813579
Celtic Pride,1996,1.940747
Flipper,1996,4.557006
Captives,1994,1.926109
Of Love and Shadows,1994,0.709209
Dead Man,1995,6.505272
The Horseman on the Roof,1995,1.690768
Switchblade Sisters,1975,6.035166
Mouth to Mouth,1995,1.133409
The Visitors,1993,7.326169
Multiplicity,1996,8.768806
"The Haunted World of Edward D. Wood, Jr.",1996,0.037443
Two Friends,2002,0.003949
The Craft,1996,12.860385
The Great White Hype,1996,3.321765
Last Dance,1996,1.196686
Cold Comfort Farm,1995,1.92386
"Institute Benjamenta, or This Dream People Call Human Life",1995,0.543042
Heaven's Prisoners,1996,9.264679
Original Gangstas,1996,0.343579
The Rock,1996,13.249824
Getting Away with Murder,1996,0.746662
Cemetery Man,1994,6.247819
Twister,1996,8.739144
Barb Wire,1996,5.877599
Le Garçu,1995,0.125882
Honeymoon,1996,0.652621
Ghost in the Shell,1995,10.686166
Thinner,1996,4.856229
Spy Hard,1996,8.202057
Brothers in Trouble,1995,0.594716
A Close Shave,1995,6.796858
Force of Evil,1948,4.386329
The Stupids,1996,1.751457
The Arrival,1996,6.497591
The Man from Down Under,1943,0.068254
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,9.80398
Careful,1992,0.160571
A Month by the Lake,1995,0.851078
Gold Diggers: The Secret of Bear Mountain,1995,5.508101
Kim,1950,1.048075
Carmen Miranda: Bananas Is My Business,1995,0.146287
Ashes of Time,1994,5.215992
The Jar,1994,0.401531
Maya Lin: A Strong Clear Vision,1995,0.001608
Stalingrad,1993,7.667284
The Phantom,1996,8.079541
Striptease,1996,11.341502
The Last of the High Kings,1996,1.427756
Heavy,1995,0.889498
Jack,1996,6.287245
I Shot Andy Warhol,1996,2.771201
The Grass Harp,1995,0.365418
Someone Else's America,1995,0.099602
Life is Rosy,1987,0.514363
Quartier Mozart,1992,0.011938
Touki Bouki,1973,0.043903
God's Gift,1982,0.049573
Spirits of the Dead,1968,1.794298
Babyfever,1994,0.001687
Pharaoh's  Army,1995,0.837911
Trainspotting,1996,19.348466
Til There Was You,1997,2.700061
Independence Day,1996,17.634197
Stealing Beauty,1996,6.418805
The Fan,1996,12.202063
The Hunchback of Notre Dame,1996,13.553999
The Cable Guy,1996,7.586577
Kingpin,1996,11.633347
Eraser,1996,6.919314
The Gate of Heavenly Peace,1995,0.10705
The Nutty Professor,1996,9.651581
"I, the Worst of All",1990,0.202495
An Unforgettable Summer,1994,0.826372
A Hungarian Fairy Tale,1987,0.043125
My Life and Times With Antonin Artaud,1993,0.000308
Midnight Dancers,1994,0.05956
Somebody to Love,1994,0.970688
A Very Natural Thing,1974,0.147662
The Old Lady Who Walked in the Sea,1991,0.573423
Daylight,1996,11.995799
The Frighteners,1996,12.09096
Lone Star,1996,9.069963
Harriet the Spy,1996,4.086563
Phenomenon,1996,5.575992
Walking and Talking,1996,0.913281
She's the One,1996,10.827266
A Time to Kill,1996,13.309013
American Buffalo,1996,7.031279
Rendezvous in Paris,1995,0.227128
Alaska,1996,2.318141
Fled,1996,3.906949
Kazaam,1996,8.962892
Magic Hunter,1994,0.091984
Larger Than Life,1996,3.521921
A Boy Called Hate,1996,1.56604
Power 98,1996,0.926867
Two Deaths,1995,0.145092
A Very Brady Sequel,1996,9.898696
Stefano Quantestorie,1993,0.036699
Death in the Garden,1956,1.116063
Hedd Wyn,1992,0.270432
La Collectionneuse,1967,1.683348
Kaspar Hauser,1993,0.000578
Regular Guys,1996,1.165202
Diebinnen,1996,0.106345
The Convent,1995,1.606957
The Adventures of Pinocchio,1996,7.523528
Joe's Apartment,1996,9.490858
The First Wives Club,1996,10.177303
Stonewall,1995,0.940228
Ransom,1996,8.772188
High School High,1996,4.220058
Phat Beach,1996,0.879852
Foxfire,1996,3.186891
Chain Reaction,1996,15.874491
Matilda,1996,10.034915
Emma,1996,6.593011
The Crow: City of Angels,1996,6.554679
House Arrest,1996,12.297782
Eyes Without a Face,1960,9.935891
Bordello of Blood,1996,3.450402
Lotto Land,1995,0.042365
The Story of Xinghua,1994,0.001652
The Day the Sun Turned Cold,1994,0.076062
Flirt,1995,1.663948
The Big Squeeze,1996,0.404501
The Spitfire Grill,1996,1.19589
Escape from L.A.,1996,12.229381
Cyclo,1995,1.781952
Basquiat,1996,4.797674
Tin Cup,1996,6.24966
Dingo,1991,0.124273
The Ballad of Narayama,1958,0.969254
Every Other Weekend,1990,0.629807
Mille bolle blu,1993,0.03537
Crows and Sparrows,1949,0.036478
The Godfather,1972,41.109264
Maybe... Maybe Not,1994,8.593319
Police Story 3: Supercop,1992,6.751864
Manny & Lo,1996,1.143656
Wife,1953,0.096079
Small Faces,1996,0.90913
Bound,1996,12.449574
Carpool,1996,3.714049
Death in Brunswick,1990,0.913987
Kansas City,1996,5.130136
Gone Fishin',1997,2.289647
Lover's Knot,1996,0.14315
Vive L'Amour,1994,1.404588
Shadow of Angels,1976,0.364246
Killer: A Journal of Murder,1996,0.705136
Nothing to Lose,1994,0.001771
Project S,1993,1.262539
Girls Town,1996,0.635669
Bye-Bye,1995,0.109406
